#timestamp [ns], position.x [m], position.y [m], position.z [m], quaternion.w [], quaternion.x [], qquaternion.y [], quaternion.z []
0000000010300000000,1.08752406,1.16925895,1.33415604,0.551193774,0.512284219,0.443847209,0.486570209
0000000010350000000,1.04645205,1.18173206,1.33956695,0.545444131,0.509873807,0.449858755,0.490049809
0000000010400000000,1.00696194,1.19075894,1.34447205,0.537457824,0.506764174,0.451924145,0.500094175
0000000010450000000,0.966017008,1.19723296,1.34902596,0.532046497,0.49882251,0.457520545,0.50870055
0000000010500000000,0.923859,1.201285,1.35328102,0.529828012,0.486882955,0.466269851,0.514608979
0000000010550000000,0.882933974,1.203035,1.35557103,0.527039409,0.473880559,0.472947508,0.523439586
0000000010600000000,0.842401028,1.20456398,1.35513902,0.5221349,0.464557052,0.477846116,0.532189131
0000000010650000000,0.800485015,1.20651996,1.35155106,0.517623365,0.454110563,0.48617363,0.538039684
0000000010700000000,0.75694102,1.20783603,1.34566104,0.510955513,0.445014536,0.496732473,0.542348444
0000000010750000000,0.712610006,1.20833695,1.33836198,0.500983596,0.438256383,0.507400393,0.54725939
0000000010800000000,0.667317986,1.20674503,1.33199501,0.495672971,0.431410015,0.514302969,0.551077008
0000000010850000000,0.622024,1.20320296,1.32812095,0.493178964,0.429234982,0.514976025,0.554374993
0000000010900000000,0.576659024,1.19833696,1.32888997,0.49269098,0.429103971,0.511987984,0.557667971
0000000010950000000,0.530982018,1.19381702,1.33394897,0.494195998,0.427536041,0.512421012,0.557142973
0000000011000000000,0.489641011,1.191275,1.33919895,0.493341982,0.430540979,0.509716928,0.55806601
0000000011050000000,0.449995995,1.19042301,1.34335804,0.493138999,0.435427994,0.506946981,0.556975007
0000000011100000000,0.410865992,1.19126594,1.34764004,0.496623993,0.439561009,0.505566001,0.551863015
0000000011150000000,0.374444991,1.19380999,1.35182595,0.495719939,0.449027926,0.503581941,0.546846032
0000000011200000000,0.337110013,1.19325399,1.35941803,0.487243921,0.463530928,0.492457956,0.552466035
0000000011250000000,0.30290401,1.19576597,1.35835004,0.484223008,0.463736981,0.491021961,0.556213081
0000000011300000000,0.265996009,1.19791698,1.35574996,0.480369031,0.467821002,0.490521997,0.556577027
0000000011350000000,0.227461994,1.20013404,1.35117698,0.478201956,0.470840007,0.489448994,0.556841016
0000000011400000000,0.187136993,1.202245,1.34571004,0.477804005,0.473260969,0.488965005,0.555554986
0000000011450000000,0.146271005,1.204687,1.34096301,0.477326006,0.474565983,0.486292005,0.557196021
0000000011500000000,0.104576997,1.20753396,1.33861601,0.474923998,0.480985999,0.479150981,0.559922993
0000000011550000000,0.063128002,1.21036005,1.338341,0.471886009,0.481557995,0.481409997,0.560060978
0000000011600000000,0.0221570004,1.21125495,1.342255,0.467083037,0.476196021,0.480022013,0.569781005
